Cover,CoverCode,Condition,ConditionCode,MinAge,MaxAge
AGR,1,NON_SERAL,0,99998,99998
BAR,2,NON_SERAL,0,99998,99998
CMM,3,EARLY_ALL,10,0,20
CMM,3,MID_MOD,21,20,140
CMM,3,LATE_CL,30,140,8190
GRASS,4,NON_SERAL,0,99998,99998
LPN,5,EARLY_ALL,10,0,40
LPN,5,MID_CL,20,10,120
LPN,5,MID_MOD,21,10,130
LPN,5,MID_OPEN,22,10,140
LPN,5,LATE_CL,30,50,8190
LPN,5,LATE_MOD,31,55,8190
LPN,5,LATE_OPEN,32,60,8190
LPN_ASP,6,LATE_CL,30,160,8190
LPN_ASP,6,EARLY_ASP,40,0,10
LPN_ASP,6,MID_ASP,41,10,110
LPN_ASP,6,MID_AC,42,60,210
LPN_ASP,6,LATE_CA,43,160,8190
LSG,7,EARLY_ALL,10,0,20
LSG,7,MID_MOD,21,20,140
LSG,7,LATE_CL,30,140,8190
MED,8,NON_SERAL,0,99998,99998
MEG_M,9,EARLY_ALL,10,0,40
MEG_M,9,MID_CL,20,20,80
MEG_M,9,MID_MOD,21,20,80
MEG_M,9,MID_OPEN,22,20,80
MEG_M,9,LATE_CL,30,40,8190
MEG_M,9,LATE_MOD,31,40,8190
MEG_M,9,LATE_OPEN,32,40,8190
MEG_U,10,EARLY_ALL,10,0,80
MEG_U,10,MID_CL,20,30,160
MEG_U,10,MID_MOD,21,30,160
MEG_U,10,MID_OPEN,22,30,160
MEG_U,10,LATE_CL,30,60,8190
MEG_U,10,LATE_MOD,31,60,8190
MEG_U,10,LATE_OPEN,32,60,8190
MEG_X,11,EARLY_ALL,10,0,40
MEG_X,11,MID_CL,20,20,80
MEG_X,11,MID_MOD,21,20,80
MEG_X,11,MID_OPEN,22,20,80
MEG_X,11,LATE_CL,30,40,8190
MEG_X,11,LATE_MOD,31,40,8190
MEG_X,11,LATE_OPEN,32,40,8190
MRIP,12,EARLY_ALL,10,0,10
MRIP,12,MID_OPEN,22,10,30
MRIP,12,LATE_OPEN,32,30,8190
OAK,13,EARLY_ALL,10,0,60
OAK,13,MID_CL,20,20,130
OAK,13,MID_MOD,21,20,130
OAK,13,MID_OPEN,22,20,130
OAK,13,LATE_CL,30,60,8190
OAK,13,LATE_MOD,31,60,8190
OAK,13,LATE_OPEN,32,60,8190
OCFW,14,EARLY_ALL,10,0,50
OCFW,14,MID_CL,20,20,200
OCFW,14,MID_MOD,21,20,240
OCFW,14,MID_OPEN,22,20,280
OCFW,14,LATE_CL,30,100,8190
OCFW,14,LATE_MOD,31,100,8190
OCFW,14,LATE_OPEN,32,100,8190
OCFW_U,15,EARLY_ALL,10,0,100
OCFW_U,15,MID_CL,20,50,400
OCFW_U,15,MID_MOD,21,50,350
OCFW_U,15,MID_OPEN,22,50,380
OCFW_U,15,LATE_CL,30,130,8190
OCFW_U,15,LATE_MOD,31,130,8190
